Tech Tag,SUBTESTNAME,Lyra Tag,
Fixture,Channel,Initialization,
Fixture,SoftwareCheck,Initialization,
Fixture,GeneralAction_2,Initialization,
Fixture,GeneralAction_5,Initialization,
Fixture,GeneralAction_1,Initialization,
Power,Discharge_Initial_1,Initialization,
Power,VoltageCheck_Safety_VBAT0V8,CTS,
Power,VoltageCheck_Safety_VBUS1V25,CTS,
Power,VoltageCheck_Safety_VBAT4V2,CTS,
Power,On_Seq_OTP,Initialization,
USBC,OTPProgram,On-Device Programmables,
Power,Discharge_Initial_OTP,Initialization,
Power,On_Seq_FWDL,Initialization,
USBC,FWDL_ACEFlash_SPI_VBAT4V2_VBUS5V,CTS,confirm
Power,Discharge_Initial_FWDL,Initialization,
Power,On_Seq_Restore,Initialization,
USBC,Info_ACE3L_FWVersion,Configuration,
SOC,Restore_DFUMode,Restore,
SOC,Restore_NonUI_DCSD_1,Restore,
SOC,Restore_NonUI_DCSD_2,Restore,
SOC,Restore_NonUI_DCSD_4,Restore,
Power,Discharge_Initial_Restore,Initialization,
Power,On_Seq_Diags,Initialization,
Process,Transition_Diags_1,Initialization,
SOC,Temperature_1,Yield protection,
DUTInfo,DiagsFW_Version,Configuration,
USBC,FWDL_ACE,On-Device Programmables,
DUTInfo,Diags_CRC_Check,Configuration,
SOC,Temperature,Yield protection,
Process,Transition_RTOS_1,Yield protection,
DUTInfo,RTOSFW,Yield protection,
Process,Transition_RTOS_2,Yield protection,
Process,Transition_RBM_1,Yield protection,
DUTInfo,RBMFW,Yield protection,
Process,Reset_Diags,Yield protection,
Process,Transition_Diags_2,Yield protection,
SOC,Info_1,Configuration,
Process,CB_1,Process,
DUTInfo,Syscfg,Configuration,
DUTInfo,MLBSN,Configuration,
Process,CB_Start,Process,
DUTInfo,MLBCFG,Configuration,
PMU,UnderVoltageWarning_Stowe,Unique Must Have,
PMU,UnderVoltageWarning_Vale,Unique Must Have,
NAND,Info_2,Configuration,
NAND,Info_GBBTest_1,Configuration,
Speaker,Reset,Yield protection,
SOC,Info_SEP,Configuration,
RF,SmokeyTest_WDFU,Configuration,
RF,Syscfg_RFEM,Configuration,
RF,Syscfg_WSKU,Configuration,
SOC,Temperature_2,Yield protection,
RF,Baseband,Configuration,
RF,Wifi_1,Configuration,
RF,Bluetooth,Configuration,
RF,Wifi_2,Configuration,
RF,NFC,Configuration,
RF,Syscfg_Mac,Configuration,
SOC,Info_ISP,Configuration,
Touch,SmokeyTest_TouchInitial,Yield protection,
Touch,SmokeyTest_TouchGeneralTest,Yield protection,
Touch,GPIOCheck_SPI_ConnectivityTest,Yield protection,
PMU,GPIOCheck_4,Yield protection,
Touch,GPIOCheck_5,Yield protection,
PMU,GPIOCheck_6,Yield protection,
Accel,SensorData_VendorInfor,Yield protection,
Accel,SensorData_AccelOnly,Yield protection,
Accel,SensorData_FS8g_ODR100HZ_Zup,Yield protection,
Accel,SensorData_AccelNormal,Yield protection,
Accel,SensorData_FS8g_ODR200HZ_Zup,Yield protection,
Gyro,SensorData_GyroNormal,Yield protection,
Gyro,SensorData_IDInfor,Yield protection,
Gyro,SensorData_FS2000dps_ODR200HZ,Yield protection,
PressureSensor,SensorData,Yield protection,
PressureSensor,Registers,Yield protection,
NAND,PCIeBIST_S6e,Yield protection,
NAND,PCIeBIST_Ans4,Yield protection,
NAND,PCIeBIST_Wifi,Yield protection,
NAND,PCIeBIST_Baseband,Yield protection,
NAND,Info_GBBTest_2,Configuration,
NAND,Info_ANS_HealthTest,Configuration,
Process,CB_2,Process,
DUTInfo,Syscfg_List_2,Initialization,
SOC,Temperature_3,Yield protection,
Process,CB_Finish,Process,
Power,Discharge_Initial_End,Initialization,
Fixture,GeneralAction_3,Initialization,
Fixture,GeneralAction_4,Initialization,
